Material,CO2 Footprint per m3,Cubic root,Volume
Lumber,97.79376876,4.607199953,154.2598573
Sheating ,2416.746212,13.41972704,24.37403108
Concrete,593.2359708,8.402512338,7.952452704
exterior siding material (aluminum),17172,25.79924281,2.97847018
Roofing material (concrete),593.2359708,8.402512338,28.8278009
Insulation,403.9338618,7.392138363,11.37504332
Wall material (concrete),593.2359708,8.402512338,95.5507355
Ceiling material,8020.172916,20.01679665,4.3385701
Windows,4480.960159,16.48631882,0.16528
Flooring Material(carpet),949126.96,98.27463434,2.10796907
Steel,9526.92,21.19910403,1.015228426
